time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
155328.00,0.00,0.15,0.00,0.00,1.09,0.20,37.28,nan,nan
155339.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155349.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155359.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155369.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155379.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155389.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155399.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155409.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155419.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155429.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155439.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155449.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155459.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155469.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155479.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155489.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155499.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155509.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155519.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155529.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155539.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155549.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155559.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155569.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155579.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155589.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155599.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155609.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155619.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155629.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155639.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155649.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155659.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155669.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155679.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155689.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155699.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155709.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155719.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155729.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155739.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155749.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155759.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155769.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155779.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155789.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155799.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155809.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155819.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155829.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155839.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155849.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155859.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155869.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155879.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155889.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155899.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155909.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155919.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155929.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155939.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155949.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155959.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155969.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155979.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155989.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
155999.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156009.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156019.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156029.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156039.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156049.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156059.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156069.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156079.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156089.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156099.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156109.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156119.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156129.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156139.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156149.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156159.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156169.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156179.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156189.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156199.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156209.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156219.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156229.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156239.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156249.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156259.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156269.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156279.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156289.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
